date,instrument_name,expiry_name,expiry_date,strike,type,volume,open_interest,rho,theta,vega,gamma,delta,bid_iv,ask_iv,mark_iv
2026-01-23T01:00:00.000000,BTC-24JAN26-98000-P,24JAN26,2026-01-24,98000.0,put,0.0,0.0,-3.3623,-18.61867,0.80312,0.0,-0.99469,0.0,94.41,58.34
2026-01-23T01:00:00.000000,BTC-25DEC26-100000-C,25DEC26,2026-12-25,100000.0,call,0.2,54.4,329.95644,-24.89351,358.44828,0.00001,0.53383,46.42,47.07,46.7
2026-01-23T01:00:00.000000,BTC-25DEC26-100000-P,25DEC26,2026-12-25,100000.0,put,0.0,98.1,-591.27697,-24.8941,358.45672,0.00001,-0.46614,46.31,47.23,46.7
2026-01-23T01:00:00.000000,BTC-25DEC26-105000-C,25DEC26,2026-12-25,105000.0,call,0.0,182.7,307.95371,-24.83767,359.6268,0.00001,0.48944,46.15,46.8,46.45
2026-01-23T01:00:00.000000,BTC-25DEC26-105000-P,25DEC26,2026-12-25,105000.0,put,0.0,100.4,-659.36478,-24.83767,359.6268,0.00001,-0.51056,46.12,47.04,46.45
2026-01-23T01:00:00.000000,BTC-25DEC26-110000-C,25DEC26,2026-12-25,110000.0,call,0.0,109.0,285.6532,-24.51098,356.55997,0.00001,0.44689,46.01,46.53,46.23
2026-01-23T01:00:00.000000,BTC-25DEC26-110000-P,25DEC26,2026-12-25,110000.0,put,0.0,2.2,-727.75049,-24.51005,356.54649,0.00001,-0.55314,45.78,46.84,46.23
2026-01-23T01:00:00.000000,BTC-25DEC26-115000-C,25DEC26,2026-12-25,115000.0,call,0.0,11.4,263.86913,-24.06424,350.06126,0.00001,0.40761,45.9,46.43,46.23
2026-01-23T01:00:00.000000,BTC-25DEC26-115000-P,25DEC26,2026-12-25,115000.0,put,0.0,0.0,-795.57493,-24.06424,350.06126,0.00001,-0.59239,45.62,46.83,46.23
2026-01-23T01:00:00.000000,BTC-25DEC26-120000-C,25DEC26,2026-12-25,120000.0,call,0.4,168.5,242.82319,-23.42031,340.72344,0.00001,0.37082,45.74,46.29,46.23
2026-01-23T01:00:00.000000,BTC-25DEC26-120000-P,25DEC26,2026-12-25,120000.0,put,0.0,0.1,-862.68366,-23.42031,340.72344,0.00001,-0.62918,45.53,46.77,46.23
2026-01-23T01:00:00.000000,BTC-25DEC26-125000-C,25DEC26,2026-12-25,125000.0,call,0.2,23.1,222.68713,-22.61481,329.10934,0.00001,0.33653,45.71,46.29,46.21
2026-01-23T01:00:00.000000,BTC-25DEC26-125000-P,25DEC26,2026-12-25,125000.0,put,0.0,0.0,-928.88251,-22.61481,329.10934,0.00001,-0.66347,45.29,46.86,46.21
2026-01-23T01:00:00.000000,BTC-25DEC26-130000-C,25DEC26,2026-12-25,130000.0,call,0.8,322.8,203.55444,-21.67852,315.70899,0.00001,0.30465,45.74,46.19,46.18
2026-01-23T01:00:00.000000,BTC-25DEC26-130000-P,25DEC26,2026-12-25,130000.0,put,2.6,46.5,-994.07798,-21.67852,315.70899,0.00001,-0.69535,45.23,46.87,46.18
2026-01-23T01:00:00.000000,BTC-25DEC26-135000-C,25DEC26,2026-12-25,135000.0,call,1.0,11.0,185.79618,-20.70295,301.29768,0.00001,0.27575,45.71,46.18,46.21
2026-01-23T01:00:00.000000,BTC-25DEC26-135000-P,25DEC26,2026-12-25,135000.0,put,0.0,0.0,-1057.89902,-20.70295,301.29768,0.00001,-0.72425,45.27,46.99,46.21
